time_period,time_identifier,geographic_level,country_code,country_name,gender,subject,mode_of_study,level,domicile,t_students
202122,Academic year,National,K02000001,United Kingdom,Female,Veterinary sciences,Part-time,Masters and Others,Total,1425
202122,Academic year,National,K02000001,United Kingdom,Female,Veterinary sciences,Part-time,Other Undergraduate,Total,55
202122,Academic year,National,K02000001,United Kingdom,Female,Veterinary sciences,Part-time,PhD and equivalent,Total,30
202122,Academic year,National,K02000001,United Kingdom,Male,"Agriculture, food and related studies",Full-time,First degree,Total,3570
202122,Academic year,National,K02000001,United Kingdom,Male,"Agriculture, food and related studies",Full-time,Masters and Others,Total,1095
202122,Academic year,National,K02000001,United Kingdom,Male,"Agriculture, food and related studies",Full-time,Other Undergraduate,Total,2675
202122,Academic year,National,K02000001,United Kingdom,Male,"Agriculture, food and related studies",Full-time,PhD and equivalent,Total,180
202122,Academic year,National,K02000001,United Kingdom,Male,"Agriculture, food and related studies",Part-time,First degree,Total,240
202122,Academic year,National,K02000001,United Kingdom,Male,"Agriculture, food and related studies",Part-time,Masters and Others,Total,570
202122,Academic year,National,K02000001,United Kingdom,Male,"Agriculture, food and related studies",Part-time,Other Undergraduate,Total,1510
202122,Academic year,National,K02000001,United Kingdom,Male,"Agriculture, food and related studies",Part-time,PhD and equivalent,Total,40
202122,Academic year,National,K02000001,United Kingdom,Male,"Architecture, building and planning",Full-time,First degree,Total,19285
202122,Academic year,National,K02000001,United Kingdom,Male,"Architecture, building and planning",Full-time,Masters and Others,Total,7280
202122,Academic year,National,K02000001,United Kingdom,Male,"Architecture, building and planning",Full-time,Other Undergraduate,Total,935
202122,Academic year,National,K02000001,United Kingdom,Male,"Architecture, building and planning",Full-time,PhD and equivalent,Total,585
202122,Academic year,National,K02000001,United Kingdom,Male,"Architecture, building and planning",Part-time,First degree,Total,6310
202122,Academic year,National,K02000001,United Kingdom,Male,"Architecture, building and planning",Part-time,Masters and Others,Total,3790
202122,Academic year,National,K02000001,United Kingdom,Male,"Architecture, building and planning",Part-time,Other Undergraduate,Total,1270
202122,Academic year,National,K02000001,United Kingdom,Male,"Architecture, building and planning",Part-time,PhD and equivalent,Total,235
202122,Academic year,National,K02000001,United Kingdom,Male,Biological and sport sciences,Full-time,First degree,Total,44795
202122,Academic year,National,K02000001,United Kingdom,Male,Biological and sport sciences,Full-time,Masters and Others,Total,3820
202122,Academic year,National,K02000001,United Kingdom,Male,Biological and sport sciences,Full-time,Other Undergraduate,Total,3105
202122,Academic year,National,K02000001,United Kingdom,Male,Biological and sport sciences,Full-time,PhD and equivalent,Total,3055
202122,Academic year,National,K02000001,United Kingdom,Male,Biological and sport sciences,Part-time,First degree,Total,3385
202122,Academic year,National,K02000001,United Kingdom,Male,Biological and sport sciences,Part-time,Masters and Others,Total,1930
202122,Academic year,National,K02000001,United Kingdom,Male,Biological and sport sciences,Part-time,Other Undergraduate,Total,540
202122,Academic year,National,K02000001,United Kingdom,Male,Biological and sport sciences,Part-time,PhD and equivalent,Total,770
202122,Academic year,National,K02000001,United Kingdom,Male,Business and management,Full-time,First degree,Total,158975
202122,Academic year,National,K02000001,United Kingdom,Male,Business and management,Full-time,Masters and Others,Total,74220
202122,Academic year,National,K02000001,United Kingdom,Male,Business and management,Full-time,Other Undergraduate,Total,10345
202122,Academic year,National,K02000001,United Kingdom,Male,Business and management,Full-time,PhD and equivalent,Total,2075
202122,Academic year,National,K02000001,United Kingdom,Male,Business and management,Part-time,First degree,Total,12535
202122,Academic year,National,K02000001,United Kingdom,Male,Business and management,Part-time,Masters and Others,Total,19570
202122,Academic year,National,K02000001,United Kingdom,Male,Business and management,Part-time,Other Undergraduate,Total,4385
