time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,pupil_teacher_ratio
201819,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,31.1
201819,Academic year,Regional,E92000001,England,E12000001,North East,Primary,20.4
201819,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,16.2
201819,Academic year,Regional,E92000001,England,E12000001,North East,Special,6.5
201819,Academic year,Regional,E92000001,England,E12000001,North East,Total maintained,17.7
201819,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,22.4
201819,Academic year,Regional,E92000001,England,E12000002,North West,Primary,21.2
201819,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,15.9
201819,Academic year,Regional,E92000001,England,E12000002,North West,Special,6.7
201819,Academic year,Regional,E92000001,England,E12000002,North West,Total maintained,18
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,23.2
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,21.6
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,16.7
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,6.8
201819,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total maintained,18.7
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,22.9
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,21.3
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,16.8
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,6.6
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,18.6
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,25.9
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,21.4
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,16.2
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,6.8
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,18.1
201819,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,24.7
201819,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,20.9
201819,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,16.6
201819,Academic year,Regional,E92000001,England,E12000006,East of England,Special,6
201819,Academic year,Regional,E92000001,England,E12000006,East of England,Total maintained,18.2
201819,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,20.4
201819,Academic year,Regional,E92000001,England,E12000008,South East,Primary,21
201819,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,16.7
201819,Academic year,Regional,E92000001,England,E12000008,South East,Special,6
201819,Academic year,Regional,E92000001,England,E12000008,South East,Total maintained,18.2
201819,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,22.4
201819,Academic year,Regional,E92000001,England,E12000009,South West,Primary,20.9
201819,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,16.8
201819,Academic year,Regional,E92000001,England,E12000009,South West,Special,6
201819,Academic year,Regional,E92000001,England,E12000009,South West,Total maintained,18.2
201819,Academic year,Regional,E92000001,England,E13000001,Inner London,Nursery,19.3
201819,Academic year,Regional,E92000001,England,E13000001,Inner London,Primary,18.3
201819,Academic year,Regional,E92000001,England,E13000001,Inner London,Secondary,14.2
201819,Academic year,Regional,E92000001,England,E13000001,Inner London,Special,4.9
201819,Academic year,Regional,E92000001,England,E13000001,Inner London,Total maintained,15.7
201819,Academic year,Regional,E92000001,England,E13000002,Outer London,Nursery,20.6
201819,Academic year,Regional,E92000001,England,E13000002,Outer London,Primary,20.5
201819,Academic year,Regional,E92000001,England,E13000002,Outer London,Secondary,16
201819,Academic year,Regional,E92000001,England,E13000002,Outer London,Special,5.6
201819,Academic year,Regional,E92000001,England,E13000002,Outer London,Total maintained,17.7
201920,Academic year,National,E92000001,England,,,Nursery,23.5
201920,Academic year,National,E92000001,England,,,Primary,20.9
201920,Academic year,National,E92000001,England,,,Secondary,16.6
201920,Academic year,National,E92000001,England,,,Special,6.3
201920,Academic year,National,E92000001,England,,,Total maintained,18.2
201920,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,31.8
201920,Academic year,Regional,E92000001,England,E12000001,North East,Primary,20.5
201920,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,16.5
201920,Academic year,Regional,E92000001,England,E12000001,North East,Special,6.9
201920,Academic year,Regional,E92000001,England,E12000001,North East,Total maintained,17.9
201920,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,23.5
201920,Academic year,Regional,E92000001,England,E12000002,North West,Primary,21.3
201920,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,16.2
201920,Academic year,Regional,E92000001,England,E12000002,North West,Special,6.8
201920,Academic year,Regional,E92000001,England,E12000002,North West,Total maintained,18.2
201920,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,23.4
201920,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,21.5
201920,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,17
201920,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,6.8
201920,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total maintained,18.8
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,22.4
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,21.4
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,17.2
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,6.6
201920,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,18.8
201920,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,26.9
201920,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,21.5
201920,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,16.4
201920,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,6.9
201920,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,18.3
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,24.7
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,21.1
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,17.1
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Special,6.1
201920,Academic year,Regional,E92000001,England,E12000006,East of England,Total maintained,18.5
201920,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,22
201920,Academic year,Regional,E92000001,England,E12000008,South East,Primary,21
201920,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,17
201920,Academic year,Regional,E92000001,England,E12000008,South East,Special,6.1
201920,Academic year,Regional,E92000001,England,E12000008,South East,Total maintained,18.4
201920,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,24
201920,Academic year,Regional,E92000001,England,E12000009,South West,Primary,21
201920,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,17
201920,Academic year,Regional,E92000001,England,E12000009,South West,Special,6.1
201920,Academic year,Regional,E92000001,England,E12000009,South West,Total maintained,18.4
201920,Academic year,Regional,E92000001,England,E13000001,Inner London,Nursery,20.1
201920,Academic year,Regional,E92000001,England,E13000001,Inner London,Primary,18.2
201920,Academic year,Regional,E92000001,England,E13000001,Inner London,Secondary,14.6
201920,Academic year,Regional,E92000001,England,E13000001,Inner London,Special,5.2
201920,Academic year,Regional,E92000001,England,E13000001,Inner London,Total maintained,15.9
201920,Academic year,Regional,E92000001,England,E13000002,Outer London,Nursery,21.2
201920,Academic year,Regional,E92000001,England,E13000002,Outer London,Primary,20.6
201920,Academic year,Regional,E92000001,England,E13000002,Outer London,Secondary,16.4
201920,Academic year,Regional,E92000001,England,E13000002,Outer London,Special,5.7
201920,Academic year,Regional,E92000001,England,E13000002,Outer London,Total maintained,17.9
202021,Academic year,National,E92000001,England,,,Nursery,21.8
202021,Academic year,National,E92000001,England,,,Primary,20.6
202021,Academic year,National,E92000001,England,,,Secondary,16.6
202021,Academic year,National,E92000001,England,,,Special,6.2
202021,Academic year,National,E92000001,England,,,Total maintained,18
202021,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,28.1
202021,Academic year,Regional,E92000001,England,E12000001,North East,Primary,20.2
202021,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,16.6
202021,Academic year,Regional,E92000001,England,E12000001,North East,Special,6.6
202021,Academic year,Regional,E92000001,England,E12000001,North East,Total maintained,17.7
202021,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,21.7
202021,Academic year,Regional,E92000001,England,E12000002,North West,Primary,21.2
202021,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,16.2
202021,Academic year,Regional,E92000001,England,E12000002,North West,Special,6.7
202021,Academic year,Regional,E92000001,England,E12000002,North West,Total maintained,18.1
202021,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Nursery,20.8
202021,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Primary,21.1
202021,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Secondary,17.1
202021,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Special,6.7
202021,Academic year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,Total maintained,18.6
202021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Nursery,21.1
202021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Primary,21.1
202021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,17.2
202021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,6.4
202021,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total maintained,18.6
202021,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,24.8
202021,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,21.1
202021,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,16.4
202021,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,6.8
202021,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total maintained,18.1
202021,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,24
202021,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,20.7
202021,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,17.1
202021,Academic year,Regional,E92000001,England,E12000006,East of England,Special,6.1
202021,Academic year,Regional,E92000001,England,E12000006,East of England,Total maintained,18.3
202021,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,20.1
202021,Academic year,Regional,E92000001,England,E12000008,South East,Primary,20.6
202021,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,17
202021,Academic year,Regional,E92000001,England,E12000008,South East,Special,6
202021,Academic year,Regional,E92000001,England,E12000008,South East,Total maintained,18.1
202021,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,23.4
202021,Academic year,Regional,E92000001,England,E12000009,South West,Primary,20.7
202021,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,17
202021,Academic year,Regional,E92000001,England,E12000009,South West,Special,5.9
202021,Academic year,Regional,E92000001,England,E12000009,South West,Total maintained,18.2
202021,Academic year,Regional,E92000001,England,E13000001,Inner London,Nursery,18.9
