time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,gender,t_fte_teachers
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Secondary,Total,22521.63071
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Special,Female,1559.91
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Special,Male,586.54
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Special,Total,2147.45
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Total,Female,35651.50029
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Total,Male,12438.21918
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Total,Total,48128.99331
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Total maintained,Female,35651.50029
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Total maintained,Male,12438.21918
201516,Academic year,Regional,E92000001,England,E13000002,Outer London,Total maintained,Total,48128.99331
201617,Academic year,National,E92000001,England,,,Non-maintained mainstream,Female,46496.5
201617,Academic year,National,E92000001,England,,,Non-maintained mainstream,Male,26555
201617,Academic year,National,E92000001,England,,,Non-maintained mainstream,Total,73051.5
201617,Academic year,National,E92000001,England,,,Nursery,Female,1223.566667
201617,Academic year,National,E92000001,England,,,Nursery,Male,60.96166667
201617,Academic year,National,E92000001,England,,,Nursery,Total,1284.528333
201617,Academic year,National,E92000001,England,,,Primary,Female,186965.14344
201617,Academic year,National,E92000001,England,,,Primary,Male,34107.831346
201617,Academic year,National,E92000001,England,,,Primary,Total,221117.5206
201617,Academic year,National,E92000001,England,,,Secondary,Female,130138.8066
201617,Academic year,National,E92000001,England,,,Secondary,Male,78032.14095
201617,Academic year,National,E92000001,England,,,Secondary,Total,208299.3137
201617,Academic year,National,E92000001,England,,,Special,Female,16136.50588
201617,Academic year,National,E92000001,England,,,Special,Male,6210.855557
201617,Academic year,National,E92000001,England,,,Special,Total,22349.36144
201617,Academic year,National,E92000001,England,,,Total,Female,384344.5226
201617,Academic year,National,E92000001,England,,,Total,Male,145915.3095
201617,Academic year,National,E92000001,England,,,Total,Total,530434.7441
201617,Academic year,National,E92000001,England,,,Total maintained,Female,337848.0226
201617,Academic year,National,E92000001,England,,,Total maintained,Male,119360.3095
201617,Academic year,National,E92000001,England,,,Total maintained,Total,457383.2441
201617,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,Female,79.24
201617,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,Male,2.2
201617,Academic year,Regional,E92000001,England,E12000001,North East,Nursery,Total,81.44
201617,Academic year,Regional,E92000001,England,E12000001,North East,Primary,Female,9043.85641
201617,Academic year,Regional,E92000001,England,E12000001,North East,Primary,Male,1510.2435898
201617,Academic year,Regional,E92000001,England,E12000001,North East,Primary,Total,10555.92
201617,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,Female,6510.772222
201617,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,Male,3688.438889
201617,Academic year,Regional,E92000001,England,E12000001,North East,Secondary,Total,10210.81111
201617,Academic year,Regional,E92000001,England,E12000001,North East,Special,Female,841.8424985
201617,Academic year,Regional,E92000001,England,E12000001,North East,Special,Male,376.3775015
201617,Academic year,Regional,E92000001,England,E12000001,North East,Special,Total,1219.22
201617,Academic year,Regional,E92000001,England,E12000001,North East,Total,Female,16658.00113
201617,Academic year,Regional,E92000001,England,E12000001,North East,Total,Male,5638.78998
201617,Academic year,Regional,E92000001,England,E12000001,North East,Total,Total,22311.21111
201617,Academic year,Regional,E92000001,England,E12000001,North East,Total maintained,Female,16658.00113
201617,Academic year,Regional,E92000001,England,E12000001,North East,Total maintained,Male,5638.78998
201617,Academic year,Regional,E92000001,England,E12000001,North East,Total maintained,Total,22311.21111
201617,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,Female,189.35
201617,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,Male,4
201617,Academic year,Regional,E92000001,England,E12000002,North West,Nursery,Total,193.35
201617,Academic year,Regional,E92000001,England,E12000002,North West,Primary,Female,25494.619631
201617,Academic year,Regional,E92000001,England,E12000002,North West,Primary,Male,4654.9938702
201617,Academic year,Regional,E92000001,England,E12000002,North West,Primary,Total,30155.69575
201617,Academic year,Regional,E92000001,England,E12000002,North West,Secondary,Female,17631.80313
