time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,phase,t_schools
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands,Secondary,292
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands,Special,101
201819,Academic year,Regional,E92000001,England,E12000004,East Midlands,Total,2219
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands,Non-maintained mainstream,225
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands,Nursery,56
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands,Primary,1771
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands,Secondary,420
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands,Special,166
201819,Academic year,Regional,E92000001,England,E12000005,West Midlands,Total,2638
201819,Academic year,Regional,E92000001,England,E12000006,East of England,Non-maintained mainstream,238
201819,Academic year,Regional,E92000001,England,E12000006,East of England,Nursery,38
201819,Academic year,Regional,E92000001,England,E12000006,East of England,Primary,1993
201819,Academic year,Regional,E92000001,England,E12000006,East of England,Secondary,389
201819,Academic year,Regional,E92000001,England,E12000006,East of England,Special,138
201819,Academic year,Regional,E92000001,England,E12000006,East of England,Total,2796
201819,Academic year,Regional,E92000001,England,E12000007,London,Non-maintained mainstream,546
201819,Academic year,Regional,E92000001,England,E12000007,London,Nursery,79
201819,Academic year,Regional,E92000001,England,E12000007,London,Primary,1816
201819,Academic year,Regional,E92000001,England,E12000007,London,Secondary,513
201819,Academic year,Regional,E92000001,England,E12000007,London,Special,203
201819,Academic year,Regional,E92000001,England,E12000007,London,Total,3157
201819,Academic year,Regional,E92000001,England,E12000008,South East,Non-maintained mainstream,534
201819,Academic year,Regional,E92000001,England,E12000008,South East,Nursery,42
201819,Academic year,Regional,E92000001,England,E12000008,South East,Primary,2597
201819,Academic year,Regional,E92000001,England,E12000008,South East,Secondary,513
201819,Academic year,Regional,E92000001,England,E12000008,South East,Special,203
201819,Academic year,Regional,E92000001,England,E12000008,South East,Total,3889
201819,Academic year,Regional,E92000001,England,E12000009,South West,Non-maintained mainstream,219
201819,Academic year,Regional,E92000001,England,E12000009,South West,Nursery,18
201819,Academic year,Regional,E92000001,England,E12000009,South West,Primary,1875
201819,Academic year,Regional,E92000001,England,E12000009,South West,Secondary,343
201819,Academic year,Regional,E92000001,England,E12000009,South West,Special,123
201819,Academic year,Regional,E92000001,England,E12000009,South West,Total,2578
201920,Academic year,National,E92000001,England,,,Non-maintained mainstream,2389
201920,Academic year,National,E92000001,England,,,Nursery,389
201920,Academic year,National,E92000001,England,,,Primary,16784
201920,Academic year,National,E92000001,England,,,Secondary,3456
201920,Academic year,National,E92000001,England,,,Special,1342
201920,Academic year,National,E92000001,England,,,Total,24360
201920,Academic year,Regional,E92000001,England,E12000001,North East,Non-maintained mainstream,53
