time_period,time_identifier,geographic_level,country_code,country_name,education_function,expenditure_type,expenditure_level,t_expenditure_millions,t_expenditure_real_terms_millions,pt_expenditure_of_gdp
201617,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Total,Central,2342.0459999999998,z,z
201617,Financial year,National,K02000001,United Kingdom,Total,Current,Central,35799.49,z,z
201617,Financial year,National,K02000001,United Kingdom,Total,Capital,Central,3260.2179999999998,z,z
201617,Financial year,National,K02000001,United Kingdom,Total,Total,Central,39059.708000000006,z,z
201617,Financial year,National,K02000001,United Kingdom,Under fives,Current,Total,3022.0390000000002,z,z
201617,Financial year,National,K02000001,United Kingdom,Under fives,Capital,Total,102.907,z,z
201617,Financial year,National,K02000001,United Kingdom,Under fives,Total,Total,3124.9459999999999,z,z
201617,Financial year,National,K02000001,United Kingdom,Primary education,Current,Total,25134.003000000001,z,z
201617,Financial year,National,K02000001,United Kingdom,Primary education,Capital,Total,2786.444,z,z
201617,Financial year,National,K02000001,United Kingdom,Primary education,Total,Total,27920.447,z,z
201617,Financial year,National,K02000001,United Kingdom,Secondary education,Current,Total,37403.724000000002,z,z
201617,Financial year,National,K02000001,United Kingdom,Secondary education,Capital,Total,1524.0650000000001,z,z
201617,Financial year,National,K02000001,United Kingdom,Secondary education,Total,Total,38927.788999999997,z,z
201617,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Current,Total,477.94,z,z
201617,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Capital,Total,115.69200000000001,z,z
201617,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Total,Total,593.63200000000006,z,z
201617,Financial year,National,K02000001,United Kingdom,Tertiary education,Current,Total,5493.9849999999997,z,z
201617,Financial year,National,K02000001,United Kingdom,Tertiary education,Capital,Total,571.90499999999997,z,z
201617,Financial year,National,K02000001,United Kingdom,Tertiary education,Total,Total,6065.89,z,z
201617,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Current,Total,3362.2190000000001,z,z
201617,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Capital,Total,30.484000000000002,z,z
201617,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Total,Total,3392.703,z,z
201617,Financial year,National,K02000001,United Kingdom,Research & Development education,Current,Total,-0.498,z,z
201617,Financial year,National,K02000001,United Kingdom,Research & Development education,Capital,Total,1703.654,z,z
201617,Financial year,National,K02000001,United Kingdom,Research & Development education,Total,Total,1703.1559999999999,z,z
201617,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Current,Total,1629.4250000000002,z,z
201617,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Capital,Total,739.64700000000005,z,z
201617,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Total,Total,2369.0719999999997,z,z
201617,Financial year,National,K02000001,United Kingdom,Total,Current,Total,76522.837,z,z
201617,Financial year,National,K02000001,United Kingdom,Total,Capital,Total,7574.7979999999998,z,z
201617,Financial year,National,K02000001,United Kingdom,Total,Total,Total,84097.635000000009,100400.302286128,4.15718578636642
201718,Financial year,National,K02000001,United Kingdom,Under fives,Current,Local,3374.4850000000001,z,z
201718,Financial year,National,K02000001,United Kingdom,Under fives,Capital,Local,84.028000000000006,z,z
201718,Financial year,National,K02000001,United Kingdom,Under fives,Total,Local,3458.5129999999999,z,z
201718,Financial year,National,K02000001,United Kingdom,Primary education,Current,Local,23855.113000000001,z,z
201718,Financial year,National,K02000001,United Kingdom,Primary education,Capital,Local,2523.2829999999999,z,z
201718,Financial year,National,K02000001,United Kingdom,Primary education,Total,Local,26378.396000000001,z,z
201718,Financial year,National,K02000001,United Kingdom,Secondary education,Current,Local,9243.8590000000004,z,z
201718,Financial year,National,K02000001,United Kingdom,Secondary education,Capital,Local,1468.163,z,z
201718,Financial year,National,K02000001,United Kingdom,Secondary education,Total,Local,10712.022000000001,z,z
201718,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Current,Local,453.45,z,z
201718,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Capital,Local,127.55500000000001,z,z
201718,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Total,Local,581.005,z,z
201718,Financial year,National,K02000001,United Kingdom,Tertiary education,Current,Local,0,z,z
201718,Financial year,National,K02000001,United Kingdom,Tertiary education,Capital,Local,0,z,z
201718,Financial year,National,K02000001,United Kingdom,Tertiary education,Total,Local,0,z,z
201718,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Current,Local,2821.6970000000001,z,z
201718,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Capital,Local,28.169,z,z
201718,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Total,Local,2849.866,z,z
201718,Financial year,National,K02000001,United Kingdom,Research & Development education,Current,Local,0,z,z
201718,Financial year,National,K02000001,United Kingdom,Research & Development education,Capital,Local,0,z,z
201718,Financial year,National,K02000001,United Kingdom,Research & Development education,Total,Local,0,z,z
201718,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Current,Local,25.907,z,z
201718,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Capital,Local,0,z,z
201718,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Total,Local,25.907,z,z
201718,Financial year,National,K02000001,United Kingdom,Total,Current,Local,39774.510999999999,z,z
201718,Financial year,National,K02000001,United Kingdom,Total,Capital,Local,4231.1980000000003,z,z
201718,Financial year,National,K02000001,United Kingdom,Total,Total,Local,44005.709000000003,z,z
201718,Financial year,National,K02000001,United Kingdom,Under fives,Current,Central,83.710999999999999,z,z
201718,Financial year,National,K02000001,United Kingdom,Under fives,Capital,Central,1.3140000000000001,z,z
201718,Financial year,National,K02000001,United Kingdom,Under fives,Total,Central,85.025000000000006,z,z
201718,Financial year,National,K02000001,United Kingdom,Primary education,Current,Central,662.37,z,z
201718,Financial year,National,K02000001,United Kingdom,Primary education,Capital,Central,49.56,z,z
201718,Financial year,National,K02000001,United Kingdom,Primary education,Total,Central,711.93000000000006,z,z
201718,Financial year,National,K02000001,United Kingdom,Secondary education,Current,Central,28541.495999999999,z,z
201718,Financial year,National,K02000001,United Kingdom,Secondary education,Capital,Central,1717.7909999999999,z,z
201718,Financial year,National,K02000001,United Kingdom,Secondary education,Total,Central,30259.287,z,z
201718,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Current,Central,0,z,z
201718,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Capital,Central,0,z,z
201718,Financial year,National,K02000001,United Kingdom,Post-secondary non-tertiary education,Total,Central,0,z,z
201718,Financial year,National,K02000001,United Kingdom,Tertiary education,Current,Central,4925.6779999999999,z,z
201718,Financial year,National,K02000001,United Kingdom,Tertiary education,Capital,Central,492.86900000000003,z,z
201718,Financial year,National,K02000001,United Kingdom,Tertiary education,Total,Central,5418.5469999999996,z,z
201718,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Current,Central,532.38099999999997,z,z
201718,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Capital,Central,2.3159999999999998,z,z
201718,Financial year,National,K02000001,United Kingdom,Subsidiary services to education,Total,Central,534.697,z,z
201718,Financial year,National,K02000001,United Kingdom,Research & Development education,Current,Central,-1.1759999999999999,z,z
201718,Financial year,National,K02000001,United Kingdom,Research & Development education,Capital,Central,1816.374,z,z
201718,Financial year,National,K02000001,United Kingdom,Research & Development education,Total,Central,1815.1980000000001,z,z
201718,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Current,Central,1671.56,z,z
201718,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Capital,Central,646.798,z,z
201718,Financial year,National,K02000001,United Kingdom,Education not elsewhere covered,Total,Central,2318.3580000000002,z,z
201718,Financial year,National,K02000001,United Kingdom,Total,Current,Central,36416.020000000004,z,z
